x,y
15765.841944,15313.313323299997
15771.3126146,15599.338073500001
15784.1589301,14190.8870311
15788.129737000001,18031.2423118
15924.657906999999,22683.156081999998
15927.388367200003,20962.8007888
16020.600099000001,14175.780851
16027.57298,15755.8577009
16311.0570538,15514.452729499999
16330.9582697,11660.8749013
16546.6622728,16105.4292049
16650.658041299997,7852.03772499
16694.0153349,6849.61549008
16702.0998364,10840.973187700001
16734.9106772,13211.8530847
16811.9918441,14625.9567432
16817.1342501,5941.48397804
16837.9120386,20848.4121802
16957.1930025,13811.132612799998
17038.4329674,8809.94379838
17048.073489399998,19569.1631277
17098.3529601,3852.34416744
17099.6988672,7511.90068697
17123.7060532,14950.6017157
17242.7766073,18718.2419546
17271.614101900002,15527.405515600001
17275.713134999998,17483.421229099997
17430.273716599997,12532.0751904
17430.633921,16655.8470026
17636.912981999998,14455.913567500002
17686.978560699998,14724.1693593
17786.0554889,16080.914941799998
17818.6383521,13581.996006
18247.802443599998,17560.4621922
18267.801616999997,6654.57864176
18335.7106409,16452.8783005
18385.4383813,18745.4913492
18403.219708,10183.7085926
18440.620427500002,13360.0919237
18498.3523643,11558.761645899998
18499.7161331,15459.7117133
18811.264979900003,20961.2046686
18890.130202599998,18857.4266667
18910.109268400003,14169.125216
19240.0567355,5567.71619248
19319.5663214,9983.42286326
19378.5237343,18313.580338
19387.3473346,17169.534259
19395.559520599996,5774.23089828
19577.6849576,11646.6785054
19641.5168661,6026.63860359
19778.958661099998,16038.686303600001
19792.388691099997,6153.041723899999
19821.6115254,6225.13548264
19856.4615756,13105.2868707
19910.304121099998,19372.345094
20519.7517832,14371.1162153
20666.0495972,16771.1796778
20744.0202259,17776.6915075
20884.4933603,8010.41434863
21242.388626400003,10442.597156200001
21252.8330284,13516.423975200001
21406.1112379,14677.566336200001
21410.011251199998,11327.8999506
21456.5325303,9158.11591511
21504.7565944,9625.40124911
21991.1550875,17677.088389200002
22102.1364708,9683.09399377
22134.229325099997,9028.07628543
22210.9162087,10212.102332100001
22391.172933200003,7649.43865133
22627.7582628,11957.0049736
22649.712901900002,14773.6628618
22696.8320676,5222.67001334
22907.023448599997,9348.19725815
22933.159558400002,4713.59197201
22955.532908200003,14450.832657100002
23307.9232497,7443.19667266
23395.7662165,5364.7617148
23631.963676400002,3872.20708946
23644.7063807,12446.920577600002
23665.9241008,7729.88454938
23818.684820200004,11311.9940059
23869.048604,4614.67933671
23909.4521656,5432.75292294
24133.476319999998,5130.38542064
24556.914071400002,7550.11847078
25411.017841599998,7244.797040899999
28878.1970746,36166.012178
